Source,Plotpy,API changes
guidata.dataset.datatypes.Obj,plotpy.core.dataset.datatypes.Obj
guidata.dataset.qtwidgets.DataSetShowGroupBox,plotpy.gui.dataset.qtwidgets.DataSetShowGroupBox
guidata.dataset.qtitemwidgets.ChoiceWidget,plotpy.gui.dataset.qtitemwidgets.ChoiceWidget
guidata.dataset.dataitems.DictItem,plotpy.gui.dataset.dataitems.DictItem
guidata.dataset.dataitems.FontFamilyItem,plotpy.core.dataset.dataitems.FontFamilyItem
guidata.dataset.datatypes.ValueProp,plotpy.core.dataset.datatypes.ValueProp
guidata.dataset.qtitemwidgets.TabGroupWidget,plotpy.gui.dataset.qtitemwidgets.TabGroupWidget
guidata.dataset.qtwidgets.DataSetEditGroupBox,plotpy.gui.dataset.qtwidgets.DataSetEditGroupBox
guidata.dataset.dataitems.BoolItem,plotpy.core.dataset.dataitems.BoolItem
guidata.dataset.dataitems.DateItem,plotpy.core.dataset.dataitems.DateItem
guidata.dataset.qtitemwidgets.ButtonWidget,plotpy.gui.dataset.qtitemwidgets.ButtonWidget
guidata.dataset.qtitemwidgets.LineEditWidget,plotpy.gui.dataset.qtitemwidgets.LineEditWidget
guidata.dataset.qtwidgets.ShowBooleanWidget,plotpy.gui.dataset.qtwidgets.ShowBooleanWidget
guidata.userconfig.UserConfig,plotpy.core.config.userconfig.UserConfig
guidata.disthelpers.to_include_files,plotpy.core.utils.disthelpers.to_include_files
guidata.disthelpers.strip_version,plotpy.core.utils.disthelpers.strip_version
guidata.hdf5io.H5Store,plotpy.core.io.hdf5io.H5Store
guidata.dataset.datatypes.BeginTabGroup,plotpy.core.dataset.datatypes.BeginTabGroup
guidata.dataset.datatypes.DataSet,plotpy.core.dataset.datatypes.DataSetGui,"Use DataSet class instead of DataSetGui only for non-gui scripts, see `DataSetGui vs DataSet`_"
guidata.hdf5io.TypeConverter,plotpy.core.io.hdf5io.TypeConverter
guidata.hdf5io.createdset,plotpy.core.io.hdf5io.createdset
guidata.dataset.datatypes.NotProp,plotpy.core.dataset.datatypes.NotProp
guidata.disthelpers.get_changeset,plotpy.core.utils.disthelpers.get_changeset
guidata.dataset.dataitems.FileSaveItem,plotpy.core.dataset.dataitems.FileSaveItem
guidata.dataset.dataitems.ChoiceItem,plotpy.core.dataset.dataitems.ChoiceItem
guidata.dataset.dataitems.FloatItem,plotpy.core.dataset.dataitems.FloatItem
guidata.dataset.datatypes.DataSetGroup,plotpy.core.dataset.datatypes.DataSetGroup
guidata.__init__.qapplication,plotpy.gui.__init__.qapplication
guidata.dataset.datatypes.EndGroup,plotpy.core.dataset.datatypes.EndGroup
guidata.userconfig.encode_to_utf8,plotpy.core.config.userconfig.encode_to_utf8
guidata.dataset.qtitemwidgets.DateTimeWidget,plotpy.gui.dataset.qtitemwidgets.DateTimeWidget
guidata.dataset.qtwidgets.DataSetShowDialog,plotpy.gui.dataset.qtwidgets.DataSetShowDialog
guidata.userconfig.NoDefault,plotpy.core.config.userconfig.NoDefault
guidata.dataset.qtitemwidgets.GroupWidget,plotpy.gui.dataset.qtitemwidgets.GroupWidget
guidata.dataset.qtitemwidgets.MultipleChoiceWidget,plotpy.gui.dataset.qtitemwidgets.MultipleChoiceWidget
guidata.dataset.qtitemwidgets.FileWidget,plotpy.gui.dataset.qtitemwidgets.FileWidget
guidata.userconfigio.UserConfigReader,plotpy.core.config.userconfigio.UserConfigReader
guidata.userconfig.get_config_dir,plotpy.core.config.userconfig.get_config_dir
guidata.dataset.datatypes.GroupItem,plotpy.core.dataset.datatypes.GroupItem
guidata.dataset.datatypes.DataItem,plotpy.core.dataset.datatypes.DataItem
guidata.dataset.dataitems.ImageChoiceItem,plotpy.core.dataset.dataitems.ImageChoiceItem
guidata.dataset.datatypes.EndTabGroup,plotpy.core.dataset.datatypes.EndTabGroup
guidata.dataset.datatypes.ObjectItem,plotpy.core.dataset.datatypes.ObjectItem
guidata.userconfigio.GroupContext,plotpy.core.config.userconfigio.GroupContext
guidata.userconfigio.BaseIOHandler,plotpy.core.config.userconfigio.BaseIOHandler
guiqwt.plot.CurveWindow,plotpy.gui.widgets.plot.PlotWindow,See `Generic PlotWidgets`_
guiqwt.image._nanmin,plotpy.gui.widgets.items.image._nanmin
guiqwt.plot.BaseImageWidget,plotpy.gui.widgets.plot.BasePlotWidget,See `Generic PlotWidgets`_
guiqwt.pyplot.subplot,plotpy.gui.widgets.pyplot.subplot
guiqwt.qthelpers.exec_image_save_dialog,plotpy.gui.widgets.qthelpers.exec_image_save_dialog
guiqwt.pyplot.ylabel,plotpy.gui.widgets.pyplot.ylabel
guiqwt.curve.GridItem,plotpy.gui.widgets.items.curve.GridItem
guiqwt.pyplot.ioff,plotpy.gui.widgets.pyplot.ioff
guiqwt.shapes.Axes,plotpy.gui.widgets.items.shapes.Axes
